,Date,Open,High,Low,Close,Adj Close,Volume,Tendencia,SMA_10,SMA_50,EMA_10,EMA_50,RSI_14,BBANDS_upper,BBANDS_middle,BBANDS_lower,MACD,Signal,Histogram,ADX_14,ATR_14,CCI_14,OBV,WILLR_14,ROC_10,MFI_14,PPO_12_26_9,PPOh_12_26_9,PPOs_12_26_9,TSI_13_25_13,TSIs_13_25_13,UO,KAMA,TRIX_30_9,TRIXs_30_9,DPO,CMO,COPP,KST_10_15_20_30_10_10_10_15,KSTs_9,STC_10_12_26_0.5,STCmacd_10_12_26_0.5,STCstoch_10_12_26_0.5,PVI,NVI,ZLEMA,DEMA,TEMA,WMA,HMA,VWMA
10,2015-01-16,5658.89990234375,5711.7001953125,5660.0,5702.0,3992.372314453125,132434,1,5611.32998046875,0.0,5633.264537464489,0.0,0.0,5712.261685265527,5654.2599609375,5596.258236609473,0.0,0.0,0.0,0.0,0.0,0.0,464924.0,0.0,-1.154527901549446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.06474840354959,0.0,0.0,-60.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,997.7656342045047,1001.2182251109248,5680.608997691761,5645.761894289128,5655.987004418377,5637.425426136364,0.0,5627.3807424533825
11,2015-01-19,5702.0,5700.0,5650.0,5663.10009765625,3965.13427734375,27109,-1,5627.07998046875,0.0,5638.689184772082,0.0,0.0,5707.93264795802,5663.47998046875,5619.02731297948,0.0,0.0,0.0,0.0,0.0,0.0,437815.0,0.0,2.8607235761102268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.2826776169736,0.0,0.0,-114.35490722656232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,997.7656342045047,1000.5360100575443,5678.116523679622,5653.352642698454,5663.490906432895,5646.838174715909,5686.46727775805,5635.411837862915
12,2015-01-20,5663.10009765625,5795.0,5650.0,5728.10009765625,4010.646728515625,176969,1,5642.410009765625,0.0,5654.945714387384,0.0,0.0,5744.658963241911,5677.2400390625,5609.821114883089,0.0,0.0,0.0,0.0,0.0,0.0,614784.0,0.0,2.749879786532413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,859.7300137616323,0.0,0.0,-58.139892578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.9134154352639,1000.5360100575443,5704.586282158327,5680.243886012391,5697.239958457636,5665.20546875,5703.344810408776,5654.652512214286
13,2015-01-21,5728.10009765625,5898.5,5730.0,5880.89990234375,4117.6328125,668301,1,5675.02998046875,0.0,5696.028294015814,0.0,0.0,5888.949166764537,5726.92001953125,5564.890872297962,0.0,0.0,0.0,0.0,0.0,209.9359315748183,1283085.0,-4.199497388494001,5.872498884935741,60.104876351943865,0.0,0.0,0.0,0.0,0.0,0.0,1648.8066030424866,0.0,0.0,83.76992187500036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.5809631750462,1000.5360100575443,5776.716013527267,5750.339817768626,5787.983892419302,5708.567267400568,5757.201572857482,5738.5437462230475
14,2015-01-22,5880.89990234375,6000.0,5900.0,5995.60009765625,4197.94189453125,153184,1,5710.889990234375,0.0,5750.4958946777115,0.0,71.49823430675367,6043.9572480515,5793.9400390625,5543.922830073499,0.0,0.0,0.0,0.0,123.3742378084818,262.21087131571454,1436269.0,-0.8451597230884955,6.361541558563952,62.86996406843378,0.0,0.0,0.0,0.0,0.0,0.0,2381.10412484397,0.0,0.0,182.06511230468732,42.996468613507346,0.0,0.0,0.0,0.0,0.0,0.0,1001.5809631750462,1002.4863951553555,5869.894955670036,5839.496996471565,5898.679075946607,5766.852743252841,5852.541472833807,5762.546827673597
15,2015-01-23,5995.60009765625,6100.0,5937.7001953125,6017.7001953125,4213.4150390625,31573,0,5755.67001953125,0.0,5799.078494793128,0.0,72.47075832772643,6139.665385692753,5857.080078125,5574.494770557247,0.0,0.0,0.0,0.0,127.51805882688953,204.03565836788812,1467842.0,-13.716634114583337,8.039647046086426,65.39299056498864,0.0,0.0,0.0,0.0,0.0,0.0,3402.8573482666234,0.0,0.0,193.05021972656232,44.94151665545287,0.0,0.0,0.0,0.0,0.0,0.0,1001.5809631750462,1002.8550004208215,5961.241380633439,5911.6469781734395,5979.351082678303,5822.636416903409,5954.916454091698,5777.36072624456
16,2015-01-26,6017.7001953125,5965.0,5800.0,5919.89990234375,4144.939453125,52238,-1,5785.960009765625,0.0,5821.046023438696,0.0,62.33429868659835,6114.249542479933,5908.4400390625,5702.630535645067,0.0,0.0,0.0,0.0,136.79351175367157,96.75176620855422,1415604.0,-30.01668294270833,5.392556566561332,61.71718460969723,0.0,0.0,0.0,0.0,0.0,0.0,3718.411726232105,0.0,0.0,94.55991210937464,24.66859737319669,0.0,0.0,0.0,0.0,0.0,0.0,999.9557527159919,1002.8550004208215,5988.5974399784955,5931.120942368962,5984.475020595632,5852.496395596591,6012.195423473011,5784.8112850142215
17,2015-01-27,5919.89990234375,5990.0,5800.0,5947.89990234375,4164.54345703125,72207,0,5814.82001953125,0.0,5844.110365057796,0.0,63.89146815316508,6051.673904473614,5952.4,5853.126095526385,0.0,0.0,0.0,0.0,142.09920360707991,86.29847572106353,1487811.0,-28.31348517432507,5.0995725198585085,64.75980178893454,0.0,0.0,0.0,0.0,0.0,0.0,3986.5696986399753,0.0,0.0,118.61491699218732,27.782936306330154,0.0,0.0,0.0,0.0,0.0,0.0,1000.4287336863106,1002.8550004208215,5993.379705863087,5953.04248732546,5995.760808605151,5881.940012428977,6030.198498165246,5797.450966159063
18,2015-01-28,5947.89990234375,5980.0,5895.7998046875,5900.60009765625,4131.42529296875,195951,-1,5841.630029296875,0.0,5854.381225530242,0.0,59.42231356281817,6044.94018134543,5956.3400390625,5867.739896779571,0.0,0.0,0.0,0.0,136.48442279926684,77.74313409548654,1291860.0,-37.1183599864023,4.75987745505992,66.71686796788383,0.0,0.0,0.0,0.0,0.0,0.0,4180.498429057992,0.0,0.0,65.16511230468768,18.844627125636357,0.0,0.0,0.0,0.0,0.0,0.0,999.633498301316,1002.8550004208215,5959.237958916389,5951.910938681241,5977.533048632808,5897.536390269886,6006.091312046244,5824.455237036048
19,2015-01-29,5900.60009765625,5957.89990234375,5800.0,5949.39990234375,4165.59423828125,540518,1,5870.52001953125,0.0,5871.657348587243,0.0,62.34853888108699,6026.56019483088,5947.1,5867.63980516912,0.0,0.0,0.0,0.0,138.50946454172225,56.161262137329544,1832378.0,-28.468827534262765,5.103787692672909,55.79182092976966,0.0,0.0,0.0,0.0,0.0,0.0,4372.359298936344,0.0,0.0,110.94492187499964,24.69707776217397,0.0,0.0,0.0,0.0,0.0,0.0,1000.4605295164441,1002.8550004208215,5945.0309862725,5965.58939639379,5983.609396526884,5917.130912642046,5976.747949711964,5887.246084090267
