,Date,Open,High,Low,Close,Adj Close,Volume,Tendencia,SMA_10,SMA_50,EMA_10,EMA_50,RSI_14,BBANDS_upper,BBANDS_middle,BBANDS_lower,MACD,Signal,Histogram,ADX_14,ATR_14,CCI_14,OBV,WILLR_14,ROC_10,MFI_14,PPO_12_26_9,PPOh_12_26_9,PPOs_12_26_9,TSI_13_25_13,TSIs_13_25_13,UO,KAMA,TRIX_30_9,TRIXs_30_9,DPO,CMO,COPP,KST_10_15_20_30_10_10_10_15,KSTs_9,STC_10_12_26_0.5,STCmacd_10_12_26_0.5,STCstoch_10_12_26_0.5,PVI,NVI,ZLEMA,DEMA,TEMA,WMA,HMA,VWMA
0,2015-01-02,17402.19921875,17608.509765625,17260.974609375,17395.224609375,12412.0185546875,8743,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2015-01-05,17395.224609375,17696.265625,16917.509765625,16965.74609375,12105.5732421875,50765,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,997.5310550724736,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2015-01-06,16965.74609375,17027.3515625,16273.005859375,16556.033203125,11813.232421875,63567,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-105589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,995.1161132929551,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2015-01-07,16556.033203125,16737.93359375,16281.142578125,16377.619140625,11685.92578125,346620,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-452209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994.0384755501997,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2015-01-08,16377.619140625,16562.421875,16081.2275390625,16154.4501953125,11526.6904296875,89004,-1,0.0,0.0,0.0,0.0,0.0,17573.316763151495,16689.8146484375,15806.312533723503,0.0,0.0,0.0,0.0,0.0,0.0,-541213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994.0384755501997,998.637354163653,0.0,0.0,0.0,0.0,0.0,0.0
5,2015-01-09,16154.4501953125,16272.427734375,15981.8486328125,16185.833984375,11549.083984375,45400,0,0.0,0.0,0.0,0.0,0.0,17040.954663714227,16447.9365234375,15854.918383160775,0.0,0.0,0.0,0.0,0.0,0.0,-495813.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994.0384755501997,998.8316274981402,0.0,0.0,0.0,0.0,0.0,0.0
6,2015-01-12,16185.833984375,16208.4970703125,16106.2158203125,16120.1640625,11502.224609375,53717,0,0.0,0.0,0.0,0.0,0.0,16608.540464268255,16278.8201171875,15949.099770106746,0.0,0.0,0.0,0.0,0.0,0.0,-549530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,993.6327508780055,998.8316274981402,0.0,0.0,0.0,0.0,0.0,0.0
7,2015-01-13,16130.041015625,16342.1630859375,16130.041015625,16235.810546875,11584.7431640625,57984,1,0.0,0.0,0.0,0.0,0.0,16394.527865048793,16214.7755859375,16035.023306826208,0.0,0.0,0.0,0.0,0.0,0.0,-491546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994.3501535292851,998.8316274981402,0.0,0.0,0.0,0.0,0.0,0.0
8,2015-01-14,16235.810546875,16273.005859375,15851.0849609375,16142.2490234375,11517.9853515625,86488,-1,0.0,0.0,0.0,0.0,0.0,16247.955473851229,16167.7015625,16087.447651148772,0.0,0.0,0.0,0.0,0.0,0.0,-578034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.9228515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,993.7738871139596,998.8316274981402,0.0,0.0,0.0,0.0,0.0,0.0
9,2015-01-15,16142.2490234375,16182.92578125,15952.205078125,15954.5361328125,11384.0458984375,64828,-1,16408.76669921875,0.0,16408.76669921875,0.0,0.0,16318.132274862981,16127.71875,15937.305225137019,0.0,0.0,0.0,0.0,0.0,0.0,-642862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.963964843749636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,993.7738871139596,997.6687604753823,15658.530110677084,16408.76669921875,16408.76669921875,16217.196058238636,0.0,16321.90318259844
