Date,Open,High,Low,Close,Adj Close,Volume,Tendencia,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI
2015-01-02,351.3099975585937,356.92999267578125,351.25,356.9200134277344,187.34109497070312,1008955,0,0.0,0.0,0.0,0.0
2015-01-05,356.9200134277344,358.1000061035156,343.0,349.8099975585937,183.6091766357422,6277105,-1,0.0,0.0,0.0,0.0
2015-01-06,349.8099975585937,352.0,348.0199890136719,349.739990234375,183.5724639892578,3245909,0,0.0,0.0,0.0,0.0
2015-01-07,349.739990234375,354.0,349.010009765625,352.6700134277344,185.1103363037109,3965623,0,0.0,0.0,0.0,0.0
2015-01-08,352.6700134277344,352.3999938964844,343.989990234375,345.0,184.4047698974609,4462814,-1,0.0,0.0,0.0,0.0
2015-01-09,345.0,348.5,344.0,347.8999938964844,185.9548797607422,6550118,0,0.0,0.0,0.0,0.0
2015-01-12,347.8999938964844,350.0,345.1600036621094,348.7099914550781,186.38780212402344,2983025,0,0.0,0.0,0.0,0.0
2015-01-13,348.7099914550781,347.989990234375,345.1199951171875,345.2200012207031,184.52235412597656,2926281,-1,0.0,0.0,0.0,0.0
2015-01-14,345.2200012207031,347.7799987792969,345.239990234375,347.4200134277344,185.6982879638672,2516166,0,0.0,0.0,0.0,0.0
2015-01-15,347.4200134277344,349.3999938964844,347.0,348.989990234375,186.53746032714844,2562555,0,0.0,0.0,0.0,0.0
2015-01-16,348.989990234375,355.0,349.0,354.1600036621094,189.3008575439453,1953341,1,0.0,0.0,0.0,0.0
2015-01-19,354.1600036621094,357.0,353.989990234375,356.3599853515625,190.47677612304688,1671645,0,0.0,0.0,0.0,0.0
2015-01-20,356.3599853515625,358.8399963378906,355.1300048828125,356.4100036621094,190.5035095214844,4228441,0,0.0,0.0,0.0,0.0
2015-01-21,356.4100036621094,356.29998779296875,353.2099914550781,354.1600036621094,189.3008575439453,1947627,0,0.0,0.0,0.0,0.0
2015-01-22,354.1600036621094,365.0,355.0,362.5,193.7586212158203,2005189,1,0.0,0.0,0.0,65.11117587207669
2015-01-23,362.5,363.989990234375,356.0,359.42999267578125,192.11770629882807,3947553,0,0.0,0.0,0.0,58.70164871471608
2015-01-26,359.42999267578125,362.0,359.0,361.9200134277344,193.4486389160156,2461835,0,0.0,0.0,0.0,61.971499209844175
2015-01-27,361.9200134277344,363.0,361.5,362.75,193.89227294921875,4664463,0,0.0,0.0,0.0,63.02245874668387
2015-01-28,362.75,364.0,362.7999877929688,363.3200073242188,194.1969757080078,1413629,0,0.0,0.0,0.0,63.76312336987632
2015-01-29,363.3200073242188,367.0,360.0,363.9100036621094,194.51231384277344,2330537,0,0.0,0.0,0.0,64.55452677327075
2015-01-30,363.9100036621094,366.0,358.0,362.8900146484375,193.9671173095703,2584445,0,0.0,0.0,0.0,62.0322343130238
2015-02-02,362.8900146484375,371.989990234375,362.6900024414063,370.239990234375,197.8957061767578,1653198,1,0.0,0.0,0.0,70.86596981586344
2015-02-03,370.239990234375,374.989990234375,366.989990234375,372.3500061035156,199.0235748291016,2255174,0,0.0,0.0,0.0,72.82097424032513
2015-02-04,372.3500061035156,373.0,371.010009765625,372.5899963378906,199.15182495117188,1628249,0,0.0,0.0,0.0,73.04254811341085
2015-02-05,372.5899963378906,374.0,360.0,366.1199951171875,195.6935577392578,2089230,-1,0.0,0.0,0.0,59.0629346866387
2015-02-06,366.1199951171875,379.9800109863281,367.0,376.55999755859375,201.27378845214844,3423901,1,8.356591013240802,0.0,0.0,69.27991542968905
2015-02-09,376.55999755859375,373.9599914550781,364.7999877929688,365.30999755859375,195.2606506347656,1659494,-1,7.653941870940855,0.0,0.0,53.72079879706823
2015-02-10,365.30999755859375,368.1099853515625,356.0,362.5799865722656,193.8013916015625,3001157,0,6.798430220703153,0.0,0.0,50.74264420429646
2015-02-11,362.5799865722656,369.9800109863281,360.0,363.8699951171875,194.490951538086,2012230,0,6.153589236542587,0.0,0.0,52.094114557874406
2015-02-12,363.8699951171875,371.989990234375,363.0,371.0799865722656,198.3447265625,1459842,1,6.153401581704543,0.0,0.0,58.884143382307016
