Date,Open,High,Low,Close,Adj Close,Volume,Tendencia,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI
2015-01-02,2682.199951171875,2800.0,2700.0,2742.89990234375,1519.405517578125,203894,0,0.0,0.0,0.0,0.0
2015-01-05,2742.89990234375,2799.89990234375,2610.0,2619.60009765625,1451.104736328125,180618,-1,0.0,0.0,0.0,0.0
2015-01-06,2619.60009765625,2700.0,2560.0,2587.199951171875,1433.15673828125,252188,-1,0.0,0.0,0.0,0.0
2015-01-07,2587.199951171875,2647.89990234375,2550.0,2560.300048828125,1418.256103515625,183262,-1,0.0,0.0,0.0,0.0
2015-01-08,2560.300048828125,2679.89990234375,2580.0,2631.60009765625,1457.7520751953125,445695,1,0.0,0.0,0.0,0.0
2015-01-09,2631.60009765625,2675.0,2630.199951171875,2659.60009765625,1473.2623291015625,204837,1,0.0,0.0,0.0,0.0
2015-01-12,2659.60009765625,2664.89990234375,2600.0,2601.10009765625,1468.463623046875,206823,-1,0.0,0.0,0.0,0.0
2015-01-13,2601.10009765625,2610.0,2420.0,2504.60009765625,1413.9840087890625,466164,-1,0.0,0.0,0.0,0.0
2015-01-14,2504.60009765625,2502.0,2275.0,2282.300048828125,1288.4833984375,541972,-1,0.0,0.0,0.0,0.0
2015-01-15,2282.300048828125,2400.0,2200.0,2227.10009765625,1257.3201904296875,298369,-1,0.0,0.0,0.0,0.0
2015-01-16,2227.10009765625,2299.60009765625,2200.0,2247.10009765625,1268.6112060546875,145073,1,0.0,0.0,0.0,0.0
2015-01-19,2247.10009765625,2260.0,2179.89990234375,2200.199951171875,1242.13330078125,140729,-1,0.0,0.0,0.0,0.0
2015-01-20,2200.199951171875,2268.89990234375,2200.0,2211.0,1248.2308349609375,178552,1,0.0,0.0,0.0,0.0
2015-01-21,2211.0,2249.89990234375,2102.10009765625,2111.199951171875,1191.88818359375,379854,-1,0.0,0.0,0.0,0.0
2015-01-22,2111.199951171875,2145.0,2011.0,2046.699951171875,1155.47412109375,295179,-1,0.0,0.0,0.0,11.892493833202424
2015-01-23,2046.699951171875,2099.800048828125,1920.0999755859373,1930.800048828125,1090.04248046875,471697,-1,0.0,0.0,0.0,9.872216128653617
2015-01-26,1930.800048828125,1931.0,1801.0,1803.0999755859373,1017.9486694335938,326219,-1,0.0,0.0,0.0,8.216081511354934
2015-01-27,1803.0999755859373,1835.0,1800.0,1800.5,1016.4811401367188,319053,-1,0.0,0.0,0.0,8.185971286111
2015-01-28,1800.5,1810.0,1680.199951171875,1696.9000244140625,957.9931640625,237234,-1,0.0,0.0,0.0,7.073566668983769
2015-01-29,1696.9000244140625,1696.9000244140625,1558.9000244140625,1598.0999755859375,902.2151489257812,313798,-1,0.0,0.0,0.0,6.207254688281957
2015-01-30,1598.0999755859375,1623.0,1550.0,1552.4000244140625,876.4148559570312,576951,-1,0.0,0.0,0.0,5.850343241624221
2015-02-02,1552.4000244140625,1625.5999755859375,1500.0,1572.0999755859375,887.53662109375,299851,1,0.0,0.0,0.0,8.298127910490292
2015-02-03,1572.0999755859375,2000.0,1589.0,1895.5,1070.1136474609375,930484,1,0.0,0.0,0.0,37.17483598192826
2015-02-04,1895.5,2360.0,2000.0,2305.699951171875,1301.6943359375,1494476,1,0.0,0.0,0.0,56.07061627339618
2015-02-05,2305.699951171875,2850.0,2358.10009765625,2723.89990234375,1537.790771484375,1716280,1,0.0,0.0,0.0,66.97586748963585
2015-02-06,2723.89990234375,2755.0,2250.0,2496.300048828125,1409.2982177734375,1512830,-1,-84.4809522171854,0.0,0.0,58.46884189565693
2015-02-09,2496.300048828125,2470.0,2320.0,2366.89990234375,1336.2449951171875,434652,-1,-59.42112598465383,0.0,0.0,54.24987960337123
2015-02-10,2366.89990234375,2680.0,2350.0,2490.89990234375,1406.2496337890625,533264,1,-29.21845727273103,0.0,0.0,57.42056156588388
2015-02-11,2490.89990234375,2610.10009765625,2500.0,2599.60009765625,1467.6168212890625,673373,1,3.448816783165512,0.0,0.0,60.035311697054894
2015-02-12,2599.60009765625,2897.89990234375,2560.0,2866.0,1618.014404296875,1308171,1,50.25480642380353,0.0,0.0,65.60922983463075
2015-02-13,2866.0,3150.10009765625,2874.0,3021.699951171875,1705.915283203125,993691,1,98.7739704075434,0.0,0.0,68.38460599171022
2015-02-16,3021.699951171875,3498.800048828125,3049.0,3461.800048828125,1954.375732421875,943868,1,170.76963122883444,0.0,0.0,74.61948526759487
2015-02-17,3461.800048828125,3749.89990234375,3250.0,3519.39990234375,1986.894287109375,1437262,1,229.8252554435844,0.0,0.0,75.3058856279592
2015-02-18,3519.39990234375,3619.89990234375,3010.0,3350.60009765625,1891.597412109375,1428317,-1,260.00930417871814,188.90249873526488,71.10680544345324,69.38385376809143
2015-02-19,3350.60009765625,3499.0,3200.0,3383.39990234375,1910.114501953125,733221,1,283.311215052498,169.7635276872358,113.5476873652622,69.879518176511
2015-02-20,3383.39990234375,3444.800048828125,3281.10009765625,3313.300048828125,1870.5394287109373,214501,-1,292.7470689888005,143.3595052988306,149.38756368996988,67.36919795322548
2015-02-23,3313.300048828125,3342.0,3020.0,3054.0,1724.150390625,660061,-1,276.1187789299415,101.38497219197731,174.73380673796422,58.93535859190854
2015-02-24,3054.0,3200.0,2531.10009765625,2598.39990234375,1466.9390869140625,896294,-1,223.60009626247393,39.09303161960776,184.50706464286617,47.64837412912409
2015-02-25,2598.39990234375,2800.0,2400.0,2693.699951171875,1520.7410888671875,1087081,1,187.50711406470737,2.400039537472935,185.10707452723443,49.813498827233104
2015-02-26,2693.699951171875,2880.0,2625.0,2703.800048828125,1526.443603515625,859789,1,157.89800914656053,-21.76725230453914,179.66526145109967,50.04928135218061
2015-02-27,2703.800048828125,2750.0,2500.0,2532.60009765625,1429.79150390625,7467302,-1,119.24360879929827,-48.337322121441105,167.58093092073938,46.09605903047158
2015-03-02,2600.0,2697.89990234375,2532.60009765625,2578.89990234375,1455.9302978515625,1086265,1,91.29335239062448,-61.030062824091914,152.3234152147164,47.30820955802377
2015-03-03,2597.0,2620.0,2530.0,2589.39990234375,1461.85791015625,345073,1,69.19223010587348,-66.50494808707433,135.6971781929478,47.596012477307376
2015-03-04,2589.39990234375,2660.0,2581.0,2625.10009765625,1482.0128173828125,649839,1,53.93589939367985,-65.40902303941436,119.34492243309421,48.623514319218124
2015-03-05,2642.0,2680.0,2565.0,2603.800048828125,1469.988037109375,679470,-1,39.66913041756743,-63.74063361242142,103.40976402998885,48.01856066706949
2015-03-06,2551.10009765625,2640.0,2551.10009765625,2599.300048828125,1467.4473876953125,79981,-1,27.680418195056973,-60.583476667945504,88.26389486300248,47.88301867070604
2015-03-09,2599.300048828125,2629.0,2480.0,2548.800048828125,1438.9375,195190,-1,13.943616103972545,-59.456223007223954,73.3998391111965,46.30343900175412
2015-03-10,2548.800048828125,2600.0,2515.0,2572.60009765625,1452.373779296875,95776,1,4.920842108882425,-54.78319760185126,59.70403971073369,47.187671520723356
2015-03-11,2572.60009765625,2680.0,2541.0,2600.199951171875,1467.9554443359375,177600,1,-0.0026630724501046643,-47.76536222654704,47.762699154096936,48.25188356457138
2015-03-12,2600.199951171875,2650.0,2545.0,2552.0,1440.7440185546875,239480,-1,-7.705090153331184,-44.3742314459425,36.669141292611314,46.49000117188708
2015-03-13,2552.0,2600.0,2299.89990234375,2366.5,1336.01904296875,285121,-1,-28.449668747715805,-52.0950480322617,23.645379284545893,40.37914866514354
2015-03-16,2370.0,2430.0,2150.10009765625,2168.39990234375,1224.180419921875,179936,-1,-60.1811877586556,-67.0612536345612,6.880065875905597,35.076594370806106
2015-03-17,2168.39990234375,2150.0,1911.5999755859373,2068.10009765625,1167.555908203125,511107,-1,-92.35736299576047,-79.38994309733286,-12.967419898427615,32.73284181520181
2015-03-18,2068.10009765625,2198.0,2025.0,2079.699951171875,1174.1046142578125,364855,1,-115.58876709770675,-82.09707775942331,-33.49168933828344,33.288023647560564
2015-03-19,2079.699951171875,2280.0,2080.0,2177.300048828125,1229.205322265625,223186,1,-124.6869959446285,-72.95624528507605,-51.730750659552456,37.92993454059757
2015-03-20,2177.300048828125,2398.39990234375,2068.699951171875,2297.300048828125,1296.951904296875,863239,1,-120.82165391934359,-55.272722607832904,-65.54893131151069,43.166130546810976
2015-03-23,2369.0,2404.0,2200.0,2394.10009765625,1351.6007080078125,638150,1,-108.69442588567335,-34.51639565933013,-74.17803022634322,47.04678554120629
2015-03-24,2394.10009765625,2447.89990234375,2310.0,2393.60009765625,1351.3182373046875,762026,-1,-97.99423952441384,-19.05296743845649,-78.94127208595735,47.02892305306106
2015-03-25,2393.60009765625,2540.0,2400.0,2533.699951171875,1430.41259765625,218986,1,-77.31810247062049,1.2985356922694962,-78.61663816288998,52.47390551402546
2015-03-26,2533.699951171875,2580.0,2451.0,2493.5,1407.7177734375,187692,-1,-63.44456552799102,12.13765810791918,-75.5822236359102,50.858456029903394
2015-03-27,2493.5,2493.0,2370.0,2450.5,1383.4415283203125,206101,-1,-55.2821697407112,16.2400431161592,-71.5222128568704,49.11662461113258
2015-03-30,2450.5,2480.0,2299.0,2303.10009765625,1300.2261962890625,406827,-1,-60.015530838033555,9.205345615069476,-69.22087645310303,43.6037263549064
2015-03-31,2303.10009765625,2339.0,2100.0,2144.10009765625,1210.4617919921875,337511,-1,-75.72382764262511,-5.202360951617663,-70.52146669100745,38.57413939620654
2015-04-01,2100.0,2200.0,2005.0,2155.10009765625,1216.672119140625,293273,1,-86.29045530841495,-12.615190893925998,-73.67526441448895,39.09752754433488
2015-04-02,2135.0,2249.89990234375,2120.0,2156.39990234375,1217.406005859375,78959,1,-93.48209706228499,-15.845466118236828,-77.63663094404816,39.163491548759666
2015-04-06,2156.39990234375,2209.89990234375,2120.0,2120.0,1196.856201171875,123607,-1,-100.95494708989236,-18.65465291667536,-82.300294173217,37.92469223459885
