Date,Open,High,Low,Close,Adj Close,Volume,Tendencia,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI
2015-01-02,1717.0,1722.0,1717.0,1721.9000244140625,1004.134765625,100952,0,0.0,0.0,0.0,0.0
2015-01-05,1721.9000244140625,1709.0,1680.0,1699.0,990.78076171875,311938,-1,0.0,0.0,0.0,0.0
2015-01-06,1699.0,1700.0,1682.0,1685.5,982.9080200195312,206195,-1,0.0,0.0,0.0,0.0
2015-01-07,1685.5,1699.4000244140625,1680.0,1683.300048828125,981.62548828125,186904,-1,0.0,0.0,0.0,0.0
2015-01-08,1683.300048828125,1675.0,1650.0,1657.4000244140625,966.5213623046876,306502,-1,0.0,0.0,0.0,0.0
2015-01-09,1657.4000244140625,1672.5,1651.0,1665.0,970.9534912109376,97136,1,0.0,0.0,0.0,0.0
2015-01-12,1665.0,1681.4000244140625,1663.9000244140625,1675.699951171875,977.1930541992188,298799,1,0.0,0.0,0.0,0.0
2015-01-13,1675.699951171875,1710.0,1689.800048828125,1700.800048828125,991.8301391601562,438136,1,0.0,0.0,0.0,0.0
2015-01-14,1700.800048828125,1725.4000244140625,1700.0,1723.4000244140625,1005.0096435546876,175463,1,0.0,0.0,0.0,0.0
2015-01-15,1723.4000244140625,1736.9000244140625,1702.0,1710.300048828125,997.3700561523438,191631,-1,0.0,0.0,0.0,0.0
2015-01-16,1710.300048828125,1711.0,1690.0,1701.199951171875,992.0634155273438,47156,-1,0.0,0.0,0.0,0.0
2015-01-19,1701.199951171875,1700.199951171875,1699.0,1700.0999755859375,991.4220581054688,86662,-1,0.0,0.0,0.0,0.0
2015-01-20,1700.0999755859375,1708.0,1700.0999755859375,1701.699951171875,992.3551025390624,330262,1,0.0,0.0,0.0,0.0
2015-01-21,1701.699951171875,1755.0,1700.0,1747.0999755859375,1018.8304443359376,181562,1,0.0,0.0,0.0,0.0
2015-01-22,1747.0999755859375,1819.699951171875,1755.0,1795.0,1046.7635498046875,451560,1,0.0,0.0,0.0,74.68556752192085
2015-01-23,1795.0,1829.0,1769.0,1795.199951171875,1046.880126953125,83307,1,0.0,0.0,0.0,74.7166823977381
2015-01-26,1795.199951171875,1795.199951171875,1719.5,1731.300048828125,1015.21484375,183310,-1,0.0,0.0,0.0,52.5057184913452
2015-01-27,1731.300048828125,1747.9000244140625,1700.0,1733.9000244140625,1016.73974609375,295519,1,0.0,0.0,0.0,53.11641355803319
2015-01-28,1733.9000244140625,1763.5,1716.199951171875,1757.699951171875,1030.6954345703125,209026,1,0.0,0.0,0.0,58.39070884922174
2015-01-29,1757.699951171875,1780.0,1740.0,1765.9000244140625,1035.504150390625,357684,1,0.0,0.0,0.0,60.05795861887507
2015-01-30,1770.0,1795.0,1754.0,1784.4000244140625,1046.3526611328125,423920,1,0.0,0.0,0.0,63.60146287400066
2015-02-02,1784.4000244140625,1797.300048828125,1756.5,1792.5999755859375,1051.1607666015625,325979,1,0.0,0.0,0.0,65.08022513207295
2015-02-03,1792.5999755859375,1795.199951171875,1771.5,1786.4000244140625,1047.525146484375,397402,-1,0.0,0.0,0.0,62.99625798904691
2015-02-04,1786.4000244140625,1788.0999755859375,1780.0,1785.5999755859375,1047.0560302734375,419303,-1,0.0,0.0,0.0,62.71716997743089
2015-02-05,1785.5999755859375,1799.0,1768.5999755859375,1783.5,1045.8245849609375,336026,-1,0.0,0.0,0.0,61.94147600941381
2015-02-06,1783.5,1800.0,1750.199951171875,1790.300048828125,1049.81201171875,285177,1,35.94916286880539,0.0,0.0,63.515095214146086
2015-02-09,1790.300048828125,1785.0,1769.5,1775.300048828125,1041.0162353515625,44172,-1,33.74318093020065,0.0,0.0,57.83444332006179
2015-02-10,1775.300048828125,1780.0,1737.0,1751.800048828125,1027.236083984375,206811,-1,29.7556659534564,0.0,0.0,50.25159512045107
2015-02-11,1751.800048828125,1777.0,1721.9000244140625,1732.800048828125,1016.0946044921876,180014,-1,24.776779108959545,0.0,0.0,45.102649777394205
2015-02-12,1732.800048828125,1790.0,1692.0,1712.199951171875,1004.0151977539062,286847,-1,18.95027274700078,0.0,0.0,40.28324663311688
