,Date,Open,High,Low,Close,Adj Close,Volume,Tendencia,Unnamed: 0,Sentimiento Promedio,Sentimiento Máximo,Sentimiento Mínimo,Tendencia Sentimiento
0,2015-01-02,5740.7001953125,5775.0,5700.0,5768.60009765625,3994.892578125,40075,0,733,-0.3333086193374851,0.0907020196318626,-0.8540768725797534,0
1,2015-01-05,5768.60009765625,5740.0,5479.39990234375,5505.60009765625,3854.857421875,73204,-1,736,-0.1979802823247941,0.4589172787964344,-0.9069290151819588,0
2,2015-01-06,5505.60009765625,5695.0,5520.0,5574.7998046875,3903.310302734375,133744,1,737,-0.2584405313432216,0.1825432851910591,-0.8326564515009522,0
3,2015-01-07,5574.7998046875,5696.0,5500.0,5554.7001953125,3889.237548828125,63787,0,738,-0.3331942647207705,0.2391559556126594,-0.8626151597127318,0
4,2015-01-08,5554.7001953125,5654.0,5580.10009765625,5637.0,3946.8603515625,74762,1,739,-0.0442417794122145,0.2473258897662162,-0.3230099119246006,0
5,2015-01-09,5637.0,5700.7001953125,5562.7998046875,5569.89990234375,3899.8798828125,103148,-1,740,-0.2264920926120664,0.3177797347307205,-0.7952041672542691,0
6,2015-01-12,5569.89990234375,5617.0,5571.0,5617.0,3932.857421875,41648,1,743,-0.3323111753253376,0.2430503293871879,-0.7735911384224892,0
7,2015-01-13,5617.0,5772.7001953125,5617.0,5659.2998046875,3962.474853515625,94814,1,744,-0.1114232010828952,0.651096798479557,-0.7964870845898986,0
8,2015-01-14,5659.2998046875,5754.0,5620.0,5632.5,3943.71044921875,185789,0,745,-0.2776864224456642,0.2860363274812698,-0.9015197264961898,0
9,2015-01-15,5632.5,5679.7998046875,5628.89990234375,5660.5,3963.31494140625,373375,0,746,-0.1973111155726339,0.304103072732687,-0.8624410200864077,0
10,2015-01-16,5658.89990234375,5711.7001953125,5660.0,5702.0,3992.372314453125,132434,1,747,-0.2328940284496639,0.1758583411574363,-0.8814477422274649,0
11,2015-01-19,5702.0,5700.0,5650.0,5663.10009765625,3965.13427734375,27109,-1,750,-0.158123420121578,0.4157061949372291,-0.6152036096900702,0
12,2015-01-20,5663.10009765625,5795.0,5650.0,5728.10009765625,4010.646728515625,176969,1,751,-0.3395340703427791,0.2375694587826728,-0.8371405014768243,0
13,2015-01-21,5728.10009765625,5898.5,5730.0,5880.89990234375,4117.6328125,668301,1,752,-0.0618294452388699,0.7287472542375326,-0.7834384683519602,0
