,Date,Open,High,Low,Close,Adj Close,Volume,Tendencia,Sentimiento Promedio,Sentimiento Máximo,Sentimiento Mínimo
0,2015-01-02,1515.0,1515.199951171875,1490.5,1495.800048828125,965.2319946289062,283046,0,-0.3333086193374851,0.0907020196318626,-0.8540768725797534
1,2015-01-05,1495.800048828125,1499.0,1426.0999755859375,1442.5999755859375,930.9022216796876,1218810,-1,-0.1979802823247941,0.4589172787964344,-0.9069290151819588
2,2015-01-06,1442.5999755859375,1450.0999755859375,1431.0,1441.5999755859375,930.2567749023438,1217208,0,-0.2584405313432216,0.1825432851910591,-0.8326564515009522
3,2015-01-07,1441.5999755859375,1460.0,1422.4000244140625,1426.9000244140625,920.7713012695312,1251314,-1,-0.3331942647207705,0.2391559556126594,-0.8626151597127318
4,2015-01-08,1427.199951171875,1449.0,1400.0,1409.699951171875,909.6720581054688,20118939,-1,-0.0442417794122145,0.2473258897662162,-0.3230099119246006
5,2015-01-09,1409.699951171875,1424.0,1406.0,1409.300048828125,909.4139404296876,1873238,0,-0.2264920926120664,0.3177797347307205,-0.7952041672542691
6,2015-01-12,1409.300048828125,1420.0,1390.0,1391.800048828125,898.1212158203125,2398068,-1,-0.3323111753253376,0.2430503293871879,-0.7735911384224892
7,2015-01-13,1391.800048828125,1410.0999755859375,1379.4000244140625,1385.300048828125,893.9268798828125,2516821,0,-0.1114232010828952,0.651096798479557,-0.7964870845898986
8,2015-01-14,1400.0,1400.0,1355.199951171875,1368.5,883.0858764648438,4616213,-1,-0.2776864224456642,0.2860363274812698,-0.9015197264961898
9,2015-01-15,1368.5,1400.0,1348.0,1355.699951171875,874.8260498046875,1148553,-1,-0.1973111155726339,0.304103072732687,-0.8624410200864077
10,2015-01-16,1355.699951171875,1365.0,1336.0999755859375,1339.800048828125,864.5660400390625,325876,-1,-0.2328940284496639,0.1758583411574363,-0.8814477422274649
11,2015-01-19,1339.800048828125,1353.0,1335.9000244140625,1341.0,865.34033203125,404594,0,-0.158123420121578,0.4157061949372291,-0.6152036096900702
12,2015-01-20,1341.0,1369.699951171875,1340.0999755859375,1350.300048828125,871.341552734375,1744134,1,-0.3395340703427791,0.2375694587826728,-0.8371405014768243
13,2015-01-21,1350.300048828125,1360.0,1340.699951171875,1349.5,870.8253784179688,3055779,0,-0.0618294452388699,0.7287472542375326,-0.7834384683519602
